YearMonthClaimed,Year,MonthClaimed,tree_0,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11
1994 Jan,1994,Jan,607.0,,,,,,,,,,,
1994 Feb,1994,Feb,534.0,141.0,,,,,,,,,,
1994 Mar,1994,Mar,596.0,596.0,,,,,,,,,,
1994 Apr,1994,Apr,528.0,528.0,265.0,,,,,,,,,
1994 May,1994,May,596.0,596.0,596.0,,,,,,,,,
1994 Jun,1994,Jun,529.0,529.0,529.0,390.0,,,,,,,,
1994 Jul,1994,Jul,488.0,488.0,488.0,488.0,,,,,,,,
1994 Aug,1994,Aug,467.0,467.0,467.0,467.0,345.0,,,,,,,
1994 Sep,1994,Sep,444.0,444.0,444.0,444.0,444.0,,,,,,,
1994 Oct,1994,Oct,211.0,475.0,475.0,475.0,475.0,264.0,,,,,,
1994 Nov,1994,Nov,,482.0,482.0,482.0,482.0,482.0,,,,,,
1994 Dec,1994,Dec,,254.0,395.0,395.0,395.0,395.0,141.0,,,,,
1995 Jan,1995,Jan,,,498.0,498.0,498.0,498.0,498.0,,,,,
1995 Feb,1995,Feb,,,361.0,452.0,452.0,452.0,452.0,91.0,,,,
1995 Mar,1995,Mar,,,,475.0,475.0,475.0,475.0,475.0,,,,
1995 Apr,1995,Apr,,,,418.0,418.0,418.0,418.0,418.0,,,,
1995 May,1995,May,,,,16.0,414.0,414.0,414.0,414.0,398.0,,,
1995 Jun,1995,Jun,,,,,391.0,391.0,391.0,391.0,391.0,,,
1995 Jul,1995,Jul,,,,,211.0,390.0,390.0,390.0,390.0,179.0,,
1995 Aug,1995,Aug,,,,,,339.0,339.0,339.0,339.0,339.0,,
1995 Sep,1995,Sep,,,,,,422.0,422.0,422.0,422.0,422.0,,
1995 Oct,1995,Oct,,,,,,60.0,491.0,491.0,491.0,491.0,431.0,
1995 Nov,1995,Nov,,,,,,,473.0,473.0,473.0,473.0,473.0,
1995 Dec,1995,Dec,,,,,,,96.0,432.0,432.0,432.0,432.0,336.0
1996 Jan,1996,Jan,,,,,,,,341.0,341.0,341.0,341.0,341.0
1996 Feb,1996,Feb,,,,,,,,301.0,301.0,301.0,301.0,301.0
1996 Mar,1996,Mar,,,,,,,,22.0,277.0,277.0,277.0,277.0
1996 Apr,1996,Apr,,,,,,,,,325.0,325.0,325.0,325.0
1996 May,1996,May,,,,,,,,,401.0,401.0,401.0,401.0
1996 Jun,1996,Jun,,,,,,,,,19.0,373.0,373.0,373.0
1996 Jul,1996,Jul,,,,,,,,,,347.0,347.0,347.0
1996 Aug,1996,Aug,,,,,,,,,,299.0,320.0,320.0
1996 Sep,1996,Sep,,,,,,,,,,,376.0,376.0
1996 Oct,1996,Oct,,,,,,,,,,,373.0,373.0
1996 Nov,1996,Nov,,,,,,,,,,,230.0,330.0
1996 Dec,1996,Dec,,,,,,,,,,,,319.0
